web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
"1609406210-2021","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=99","null","Corinthstr. 28, Friedrichshain, Berlin","299.000 €","59,46 m²","2 Zi.2","Online-Besichtigung","null","/expose/125336651"
"1609406490-2709","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=65","null","Charlottenburg, Berlin","329.000 €","74 m²","2 Zi.2","Balkon/Terrasse","Aufzug","/expose/111255875"
"1609406866-3755","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=13","null","Senefelder Straße 30a, Prenzlauer Berg, Berlin","960.000 €","135,74 m²","4 Zi.4","Provisionsfrei*","Balkon/Terrasse","/expose/124551828"
"1609406252-2129","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=94","null","Fischzug 1, Friedrichshain, Berlin","1.500.000 €","201,98 m²","4 Zi.4","Balkon/Terrasse","Keller","/expose/122248818"
"1609406415-2556","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=73","null","Moabit, Berlin","237.175 €","52,78 m²","2 Zi.2","Online-Besichtigung","Balkon/Terrasse","/expose/125083603"
"1609406199-2017","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=100","null","Friedrichshain, Berlin","270.000 €","54,87 m²","2 Zi.2","Provisionsfrei*","Balkon/Terrasse","/expose/124826184"
"1609406712-3366","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=32","null","Charlottenburg, Berlin","245.000 €","30 m²","1 Zi.1","Online-Besichtigung","Balkon/Terrasse","/expose/124648553"
"1609406693-3317","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=35","null","Wintersteinstraße 9, Charlottenburg, Berlin","425.900 €","112,22 m²","4 Zi.4","Provisionsfrei*","Balkon/Terrasse","/expose/120965688"
"1609406496-2739","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=64","null","Schöneweider Straße 17, Neukölln (Ortsteil), Berlin","341.616 €","63,77 m²","2 Zi.2","Online-Besichtigung","Provisionsfrei*","/expose/124454862"
"1609406900-3858","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=8","NEUDUO NIPKOW","Süßer Grund 11, Adlershof, Berlin","359.000 - 769.000 €","60,16 - 125,57 m²","09/2021","null","null","https://www.immobilienscout24.de/neubau/otto-heil-immobilien-nipkowstrasse-berlin-gmbh/duo-nipkow/96870.html"
