web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
1609154256-1963,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=2,"Gepflegter Altbau mit Dielen, Stuck & Balkon nahe Volkspark Friedrichshain","Ebertystraße 54, Friedrichshain, Berlin",492.50 €,"109,17 m²",3 Zi.3,Online-Besichtigung,Provisionsfrei*,/expose/110239382
1609153701-341,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=83,null,"Prenzlauer Berg, Berlin",3.200.000 €,252 m²,6 Zi.6,Balkon/Terrasse,Einbauküche,/expose/118629363
1609154092-1499,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=26,null,"Staaken, Berlin",954.50 €,"148,01 m²",5 Zi.5,Online-Besichtigung,Provisionsfrei*,/expose/124881643
1609154171-1738,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=14,null,"Wundtstraße 24._e, Charlottenburg, Berlin",779.00 €,"167,2 m²",5 Zi.5,Online-Besichtigung,Balkon/Terrasse,/expose/124970324
1609153659-214,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=90,null,"Lankwitz, Berlin",259.00 €,"62,87 m²","2,5 Zi.2,5",Online-Besichtigung,Balkon/Terrasse,/expose/124668159
1609153689-315,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=85,null,"Mitte (Ortsteil), Berlin",550.00 €,80 m²,2 Zi.2,Balkon/Terrasse,Aufzug,/expose/125143988
1609153640-157,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=93,null,"Weißensee, Berlin",209.00 €,42 m²,2 Zi.2,Balkon/Terrasse,Garten,/expose/123771021
1609154171-1727,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=14,null,"Mitte (Ortsteil), Berlin",6.600.000 €,"331,38 m²",7 Zi.7,Provisionsfrei*,null,/expose/124974817
1609153869-828,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=59,null,"Knorrpromenade 8c, Friedrichshain, Berlin",399.00 €,"87,97 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/125126572
1609153917-978,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=52,null,"Neuenburgerstraße 19, Kreuzberg, Berlin",2.245.000 €,"215,45 m²",4 Zi.4,Balkon/Terrasse,Garten,/expose/120601536
1609153897-919,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=55,null,"Sigmaringer Straße 17, Wilmersdorf, Berlin",527.20 €,"81,37 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/112659790
1609153974-1138,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=44,null,"Mitte (Ortsteil), Berlin",1.100.000 €,135 m²,5 Zi.5,Keller,Gäste-WC,/expose/125153372
1609154104-1530,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=24,null,"Kavalierstraße 5, Pankow (Ortsteil), Berlin",395.00 €,"73,49 m²",3 Zi.3,Online-Besichtigung,Provisionsfrei*,/expose/119202256
1609153714-383,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=81,null,"Spandau (Ortsteil), Berlin",175.00 €,54 m²,2 Zi.2,Provisionsfrei*,Keller,/expose/122259459
1609154142-1654,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=18,null,"Nürnberger Straße 27, Charlottenburg, Berlin",479.00 €,77 m²,"2,5 Zi.2,5",null,null,/expose/116735590
1609154187-1767,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=12,NEUW4,"Am Großen Wannsee 4, Wannsee, Berlin",2.186.270 - 4.149.960 €,"160,00 - 277,00 m²",Jan-22,null,null,https://www.immobilienscout24.de/neubau/nadine-lehmann-immobiliengesellschaft-mbh/w4/96467.html
1609153953-1064,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=47,null,"Grunewald, Berlin",1.480.000 €,230 m²,4 Zi.4,null,null,/expose/124726705
1609153981-1151,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=43,null,"Frohnau, Berlin",499.00 €,135 m²,"3,5 Zi.3,5",Balkon/Terrasse,Einbauküche,/expose/125375104
1609153758-528,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=74,null,"Florapromenade 25, Pankow (Ortsteil), Berlin",185.00 €,"44,73 m²",2 Zi.2,Online-Besichtigung,Einbauküche,/expose/124902189
1609154021-1265,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=37,null,"Pankow (Ortsteil), Berlin",385.00 €,"85,89 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/122523354
1609153788-611,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=70,Jean Calas,"Jean-Calas-Weg 4, Französisch Buchholz, Berlin",268.000 - 639.000 €,"61,00 - 143,00 m²",4. Quartal 2021,null,null,https://www.immobilienscout24.de/neubau/urban-space-immobilien-projektentwicklung-gmbh-co-kg/jean-calas/91316.html
1609153606-54,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=98,null,"Solmsstraße 34, Kreuzberg, Berlin",229.28 €,"45,3 m²",1 Zi.1,Online-Besichtigung,Provisionsfrei*,/expose/120607241
1609153953-1070,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=47,null,"Grunewald, Berlin",1.380.000 €,124 m²,5 Zi.5,null,null,/expose/124619553
